ID,VehicleID,SourceID,Shop Label
1101,838,18,Find on street & steal
1100,837,13,Career Progress
1099,833,18,Find on street & steal
1098,832,18,Find on street & steal
1097,831,13,Career Progress
1096,830,7,Warstock Cache & Carry
1095,829,7,Warstock Cache & Carry
1094,828,7,Warstock Cache & Carry
1093,827,7,Warstock Cache & Carry
1092,826,1,Southern S.A. Super Autos
1091,825,2,Legendary Motorsport 
1090,824,2,Legendary Motorsport 
1089,822,2,Legendary Motorsport 
1088,821,2,Legendary Motorsport 
1087,820,2,Legendary Motorsport 
1086,819,2,Legendary Motorsport 
1085,818,1,Southern S.A. Super Autos
1084,817,21,Salvage Yard
1083,816,21,Salvage Yard
1082,815,1,Southern S.A. Super Autos
1081,814,1,Southern S.A. Super Autos
1080,813,7,Warstock Cache & Carry
1079,812,2,Legendary Motorsport 
1078,811,1,Southern S.A. Super Autos
1077,810,2,Legendary Motorsport 
1076,809,2,Legendary Motorsport 
1075,808,2,Legendary Motorsport 
1074,807,1,Southern S.A. Super Autos
1073,806,1,Southern S.A. Super Autos
1072,805,1,Southern S.A. Super Autos
1071,804,20,Bonus Reward
1070,803,2,Legendary Motorsport 
1069,802,2,Legendary Motorsport 
1068,801,6,Elitás Travel
1067,800,7,Warstock Cache & Carry
1066,799,7,Warstock Cache & Carry
1065,798,1,Southern S.A. Super Autos
1064,797,1,Southern S.A. Super Autos
1063,797,13,Career Progress
1062,796,7,Warstock Cache & Carry
1061,795,7,Warstock Cache & Carry
1060,794,1,Southern S.A. Super Autos
1059,793,2,Legendary Motorsport 
1058,792,1,Southern S.A. Super Autos
1057,791,7,Warstock Cache & Carry
1056,790,2,Legendary Motorsport 
1055,789,1,Southern S.A. Super Autos
1054,788,1,Southern S.A. Super Autos
1053,787,1,Southern S.A. Super Autos
1052,786,1,Southern S.A. Super Autos
1051,786,13,Career Progress
1050,785,7,Warstock Cache & Carry
1049,784,7,Warstock Cache & Carry
1048,783,2,Legendary Motorsport 
1047,782,2,Legendary Motorsport 
1046,781,7,Warstock Cache & Carry
1045,780,2,Legendary Motorsport 
1044,779,2,Legendary Motorsport 
1043,778,2,Legendary Motorsport 
1042,777,2,Legendary Motorsport 
1041,776,20,Misc
1040,775,7,Warstock Cache & Carry
1039,774,7,Warstock Cache & Carry
1038,773,1,Southern S.A. Super Autos
1037,772,7,Warstock Cache & Carry
1036,771,1,Southern S.A. Super Autos
1035,770,7,Warstock Cache & Carry
1034,769,1,Southern S.A. Super Autos
1033,768,2,Legendary Motorsport 
1032,767,1,Southern S.A. Super Autos
1031,766,1,Southern S.A. Super Autos
1030,765,1,Southern S.A. Super Autos
1029,764,2,Legendary Motorsport 
1028,763,2,Legendary Motorsport 
1027,762,1,Southern S.A. Super Autos
1026,761,1,Southern S.A. Super Autos
1025,760,1,Southern S.A. Super Autos
1024,759,1,Southern S.A. Super Autos
1023,758,1,Southern S.A. Super Autos
1022,757,1,Southern S.A. Super Autos
1021,756,1,Southern S.A. Super Autos
1020,755,7,Warstock Cache & Carry
1019,754,2,Legendary Motorsport 
1018,753,8,Pedal and Metal Cycles 
1017,752,8,Pedal and Metal Cycles 
1016,751,2,Legendary Motorsport 
1015,750,2,Legendary Motorsport 
1014,749,1,Southern S.A. Super Autos
1013,748,7,Warstock Cache & Carry
1012,747,1,Southern S.A. Super Autos
1011,746,1,Southern S.A. Super Autos
1010,745,1,Southern S.A. Super Autos
1009,744,7,Warstock Cache & Carry
1008,743,1,Southern S.A. Super Autos
1007,742,1,Southern S.A. Super Autos
1006,741,2,Legendary Motorsport 
1005,741,20,Misc
1004,740,1,Southern S.A. Super Autos
1003,739,2,Legendary Motorsport 
1002,738,2,Legendary Motorsport 
1001,737,1,Southern S.A. Super Autos
1000,736,2,Legendary Motorsport 
999,735,1,Southern S.A. Super Autos
998,734,2,Legendary Motorsport 
997,733,20,Misc
996,732,2,Legendary Motorsport 
995,731,1,Southern S.A. Super Autos
994,731,13,Career Progress
993,730,1,Southern S.A. Super Autos
992,729,1,Southern S.A. Super Autos
991,728,7,Warstock Cache & Carry
990,728,20,Misc
989,727,15,Conversion at Benny's Shop
988,726,15,Conversion at Benny's Shop
987,725,15,Conversion at Benny's Shop
986,724,1,Southern S.A. Super Autos
985,723,2,Legendary Motorsport 
984,723,3,Benny's Original Motor Works
983,722,1,Southern S.A. Super Autos
982,721,1,Southern S.A. Super Autos
981,720,1,Southern S.A. Super Autos
980,719,15,Conversion at Benny's Shop
979,718,1,Southern S.A. Super Autos
978,717,1,Southern S.A. Super Autos
977,716,2,Legendary Motorsport 
976,715,2,Legendary Motorsport 
975,714,2,Legendary Motorsport 
974,713,2,Legendary Motorsport 
973,712,6,Elitás Travel
972,711,1,Southern S.A. Super Autos
971,710,2,Legendary Motorsport 
970,709,2,Legendary Motorsport 
969,708,1,Southern S.A. Super Autos
968,707,1,Southern S.A. Super Autos
967,706,2,Legendary Motorsport 
966,705,7,Warstock Cache & Carry
965,704,2,Legendary Motorsport 
964,704,11,Customer Bike (MC Clubhouse)
963,703,1,Southern S.A. Super Autos
962,702,1,Southern S.A. Super Autos
961,701,2,Legendary Motorsport 
960,701,11,Customer Bike (MC Clubhouse)
959,700,2,Legendary Motorsport 
958,699,1,Southern S.A. Super Autos
957,698,2,Legendary Motorsport 
956,697,2,Legendary Motorsport 
955,696,13,Career Progress
954,695,1,Southern S.A. Super Autos
953,694,2,Legendary Motorsport 
952,693,2,Legendary Motorsport 
951,692,2,Legendary Motorsport 
950,691,2,Legendary Motorsport 
949,690,2,Legendary Motorsport 
948,689,2,Legendary Motorsport 
947,688,1,Southern S.A. Super Autos
946,687,2,Legendary Motorsport 
945,686,1,Southern S.A. Super Autos
944,685,2,Legendary Motorsport 
943,684,2,Legendary Motorsport 
942,683,1,Southern S.A. Super Autos
941,682,2,Legendary Motorsport 
940,681,1,Southern S.A. Super Autos
939,680,2,Legendary Motorsport 
938,679,2,Legendary Motorsport 
937,678,1,Southern S.A. Super Autos
936,677,1,Southern S.A. Super Autos
935,676,2,Legendary Motorsport 
934,675,1,Southern S.A. Super Autos
933,674,2,Legendary Motorsport 
932,673,1,Southern S.A. Super Autos
931,672,1,Southern S.A. Super Autos
930,671,7,Warstock Cache & Carry
929,670,7,Warstock Cache & Carry
928,669,7,Warstock Cache & Carry
927,668,7,Warstock Cache & Carry
926,667,1,Southern S.A. Super Autos
925,667,13,Career Progress
924,666,7,Warstock Cache & Carry
923,665,1,Southern S.A. Super Autos
922,665,3,Benny's Original Motor Works
921,665,10,Customer Car (Auto Shop)
920,664,1,Southern S.A. Super Autos
919,664,3,Benny's Original Motor Works
918,664,10,Customer Car (Auto Shop)
917,664,20,Misc
916,663,2,Legendary Motorsport 
915,662,1,Southern S.A. Super Autos
914,661,1,Southern S.A. Super Autos
913,660,7,Warstock Cache & Carry
912,659,7,Warstock Cache & Carry
911,658,7,Warstock Cache & Carry
910,657,7,Warstock Cache & Carry
909,656,7,Warstock Cache & Carry
908,655,5,DockTease
907,654,7,Warstock Cache & Carry
906,653,7,Warstock Cache & Carry
905,652,7,Warstock Cache & Carry
904,652,13,Career Progress
903,651,15,Conversion at Benny's Shop
902,650,15,Conversion at Benny's Shop
901,649,15,Conversion at Benny's Shop
900,648,15,Conversion at Benny's Shop
899,648,10,Customer Car (Auto Shop)
898,647,15,Conversion at Benny's Shop
897,646,15,Conversion at Benny's Shop
896,645,1,Southern S.A. Super Autos
895,644,1,Southern S.A. Super Autos
894,644,10,Customer Car (Auto Shop)
893,643,1,Southern S.A. Super Autos
892,642,1,Southern S.A. Super Autos
891,642,10,Customer Car (Auto Shop)
890,641,1,Southern S.A. Super Autos
889,641,10,Customer Car (Auto Shop)
888,640,2,Legendary Motorsport 
887,639,2,Legendary Motorsport 
886,638,2,Legendary Motorsport 
885,637,2,Legendary Motorsport 
884,636,2,Legendary Motorsport 
883,636,11,Customer Bike (MC Clubhouse)
