carExIdx,Company,ManuID,Model,ModelInKor,Type,ClassID,Prices,is_unique,is_pegasus,LapTime,Top Speed,Speed,Acceleration,Braking,Handling,length,width,height,Weight,Drive,DriveID,Gears,Seats,Shop,Steal,lengthbackup,widthbackup,heightbackup,Speedbackup,Accelerationbackup,Brakingbackup,Handlingbackup,LapTimebackup,Top Speed backup
839,Brute,18,Boxville (Humane Labs),,Vans,23,,1,1,107324,11507,5366,2750,833,4697,635,228,274,5500,RWD,2,4,4,,,,,,,,,,,
838,BF,16,Surfer (Rusty),,Vans,23,,0,0,108692,10823,5366,2500,1000,4697,439,196,186,2500,RWD,2,4,2,,,,,,,,,,,
837,Vapid,6,Speedo Custom (Personal),,Vans,23,,0,0,78746,16737,6975,5000,2167,5758,638,235,257,2500,RWD,2,5,4,,,,,,,,,,,
836,Bravado,17,Rumpo (Deludamol),,Vans,23,,1,1,82766,16013,6975,4250,1333,5909,547,238,211,2500,RWD,2,5,2,,,,,,,,,,,
835,Declasse,25,Burrito (McGill-Olsen),,Vans,23,,0,0,88154,14605,6975,4000,2000,5909,556,252,255,2500,RWD,2,5,4,Can be stolen / found,Yes,5.56,2.52,2.55,69.75,40,20,59.09,01:28.2,146.05
834,Declasse,25,Burrito (LSDWP),,Vans,23,,0,0,88154,14605,6975,4000,2000,5909,556,252,255,2500,RWD,2,5,4,Can be stolen / found,Yes,5.56,2.52,2.55,69.75,40,20,59.09,01:28.2,146.05
833,Bravado,17,Bison (McGill-Olsen),,Vans,23,,0,0,79529,16013,6975,5000,2000,6212,552,229,202,2100,AWD,3,5,4,,,,,,,,,,,
832,Bravado,17,Bison (The Mighty Bush),,Vans,23,,0,0,79529,16013,6975,5000,2000,6212,552,229,202,2100,AWD,3,5,4,,,,,,,,,,,
831,Brute,18,Pony (Smoke on the water),,Vans,23,,0,0,81231,15772,6975,4000,2000,5909,536,233,221,2500,RWD,2,5,4,,,,,,,,,,,
830,Bravado,17,Buffalo STX Pursuit,,Emergency,6,5370000,0,0,62145,20720,8558,8563,3167,7818,553,199,167,1860,RWD,2,8,4,,,,,,,,,,,
829,Bravado,17,Buffalo Cruiser,,Emergency,6,4435000,0,0,65165,18749,7780,7250,3000,7424,524,204,159,1710,RWD,2,5,4,,,,,,,,,,,
828,Western,37,Police bike,,Emergency,6,4960000,0,0,62497,25226,7243,6750,3667,5758,241,87,169,250,RWD,2,4,1,,,,,,,,,,,
827,Vapid,6,Stanier LE Cruiser,,Emergency,6,4690000,0,0,69820,18387,7780,5000,3000,7727,556,201,166,1400,RWD,2,5,4,,,,,,,,,,,
826,Shitzu,26,Keitora,케이토라,Utility,22,810000,0,0,85936,14000,5419,2962,950,4879,392,152,272,670,RWD,2,4,2,Southern S.A. Super Autos,,,,,,,,,,
825,Grotti,29,Itali Classic,,Sports Classics,18,2025000,0,0,63648,19594,8370,7500,2000,7803,467,213,117,1470,RWD,2,5,2,Legendary Motorsport ,,,,,,,,,,
